0,-30,-30,-29
15,-23,-22,-22
30,-26,-26,-25
45,-24,-24,-24
60,-17,-20,-19
75,-23,-20,-22
90,-18,-15,-11
105,-13,-14,-11
120,-10,-10,-11
135,-8,-8,-8
150,-7,-6,-5
165,-12,-14,-13
180,-11,-11,-12
195,-16,-17,-17
210,-15,-15,-16
225,-23,-22,-20
240,-21,-21,-22
255,-22,-23,-24
270,-11,-11,-11
285,-17,-17,-16
300,-18,-18,-18
315,-20,-23,-22
330,-21,-26,-26
345,-18,-18,-18
